property_name,city,rating,room_type,amenities,description,url,image_url,price_range,pet_friendly,bedrooms,location_details,raw_html,property_id,building_type,suite_features
The View,Edmonton,4.3,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Concierge', 'Elevator', 'Balcony', 'Terrace', 'Garden', 'Outdoor Space', 'Storage', 'Bike Storage']",The View Edmonton 4.3,https://premieresuites.com/furnished-apartments/edmonton/the-view/,https://premiereweb.premieresuites.com/thumbs/73a8a3ca-a59f-4af9-933d-063701b7167b_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('b444352c-e55a-ed11-8135-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/edmonton/the-view/"" title=""The View"">
<img alt=""The View 2 - Living Room"" src=""https://premiereweb.premieresuites.com/thumbs/73a8a3ca-a59f-4af9-933d-063701b7167b_thumbs.jpg""/>
</a>
</div>
</div>",THEVIEW,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Patio', 'Storage', 'Modern', 'Luxury', 'Premium']"
Orchard Uptown,Burlington,4.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Elevator', 'Terrace', 'Garden', 'Outdoor Space']",Orchard Uptown Burlington 4.0,https://premieresuites.com/furnished-apartments/burlington/orchard-uptown/,https://premiereweb.premieresuites.com/thumbs/10cc8b5d-a842-4924-ab81-7a8d14497c6c_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('bf9f8ddd-ee5a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/burlington/orchard-uptown/"" title=""Orchard Uptown"">
<img alt=""Dining Room Fully Furnished Apartment Suite Burlington"" src=""https://premiereweb.premieresuites.com/thumbs/10cc8b5d-a842-4924-ab81-7a8d14497c6c_thumbs.jpg""/>
</a>
</div>
</div>",ORCHARDUPT,Apartment Building,"['Furnished', 'Kitchen', 'Kitchenette', 'In-suite Laundry', 'Terrace']"
Harmonie,Pointe Claire,4.4,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'Fully Furnished', 'In-suite Laundry', 'Elevator', 'Balcony', 'Terrace', 'Garden']",Harmonie Pointe Claire 4.4,https://premieresuites.com/furnished-apartments/pointe-claire/harmonie/,https://premiereweb.premieresuites.com/thumbs/ca756e23-8630-ee11-8142-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('cdfd1c08-87e3-ed11-813d-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/pointe-claire/harmonie/"" title=""Harmonie"">
<img alt=""Kitchen &amp; Dining Room"" src=""https://premiereweb.premieresuites.com/thumbs/ca756e23-8630-ee11-8142-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",HARMONIE,Apartment Building,"['Fully Furnished', 'Furnished', 'Kitchen', 'In-suite Laundry', 'Balcony', 'Terrace', 'Patio', 'Private Balcony', 'City View', 'Modern', 'High-end']"
Imperial Metrotown,Burnaby,4.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Concierge', 'Elevator', 'Terrace', 'Garden', 'Outdoor Space']",Imperial Metrotown Burnaby 4.0,https://premieresuites.com/furnished-apartments/burnaby/imperial-metrotown/,https://premiereweb.premieresuites.com/thumbs/3fdc6648-44da-451a-89d1-076ab0f21757_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('fe5e20e0-e95a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/burnaby/imperial-metrotown/"" title=""Imperial Metrotown"">
<img alt=""Imperial Metrotown - Living Room"" src=""https://premiereweb.premieresuites.com/thumbs/3fdc6648-44da-451a-89d1-076ab0f21757_thumbs.jpg""/>
</a>
</div>
</div>",IMPERIALME,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Walk-in Closet', 'Queen Bed', 'Luxury']"
Bellagio Terrace,Regina,3.0,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Elevator', 'Terrace', 'Garden', 'Storage', 'Bike Storage']",Bellagio Terrace Regina 3.0,https://premieresuites.com/furnished-apartments/regina/bellagio-terrace/,https://premiereweb.premieresuites.com/thumbs/a3bbe9d4-159c-4759-a341-1ebabb7d4444_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('c5fbde39-e15a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/regina/bellagio-terrace/"" title=""Bellagio Terrace"">
<img alt=""Bellagio Terrace - Living Room"" src=""https://premiereweb.premieresuites.com/thumbs/a3bbe9d4-159c-4759-a341-1ebabb7d4444_thumbs.jpg""/>
</a>
</div>
</div>",BELLAGIOTE,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Storage', 'Modern']"
Aspen Townhouse,Calgary,4.3,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Terrace', 'Garden']",Aspen Townhouse Calgary 4.3,https://premieresuites.com/furnished-apartments/calgary/aspen-townhouse/,https://premiereweb.premieresuites.com/thumbs/282d9faf-fdb6-4cfe-971a-c93430ee8b95_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('f3297381-df5a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/calgary/aspen-townhouse/"" title=""Aspen Townhouse"">
<img alt=""Aspen Townhouse - Living Room 5"" src=""https://premiereweb.premieresuites.com/thumbs/282d9faf-fdb6-4cfe-971a-c93430ee8b95_thumbs.jpg""/>
</a>
</div>
</div>",ASPENTOWNH,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Walk-in Closet', 'Hardwood Floors', 'Queen Bed', 'Contemporary']"
Dockside Green   Balance A,Victoria,4.7,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Terrace', 'Garden']",Dockside Green   Balance A Victoria 4.7,https://premieresuites.com/furnished-apartments/victoria/dockside-green---balance-a/,https://premiereweb.premieresuites.com/thumbs/5a7670bf-e55a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('597670bf-e55a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/victoria/dockside-green---balance-a/"" title=""Dockside Green - Balance A"">
<img alt=""Water View from Balance 704A"" src=""https://premiereweb.premieresuites.com/thumbs/5a7670bf-e55a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",DOCKSIDEGR,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace']"
The Lofts On Bannatyne,Winnipeg,4.2,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Elevator', 'Terrace', 'Garden']",The Lofts On Bannatyne Winnipeg 4.2,https://premieresuites.com/furnished-apartments/winnipeg/the-lofts-on-bannatyne/,https://premiereweb.premieresuites.com/thumbs/78662ef9-f95a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('77662ef9-f95a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/winnipeg/the-lofts-on-bannatyne/"" title=""The Lofts on Bannatyne"">
<img alt=""LR - BAN602"" src=""https://premiereweb.premieresuites.com/thumbs/78662ef9-f95a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",THELOFTSON,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Modern', 'Designer']"
Beechwood Village,Ottawa,4.5,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Terrace', 'Garden', 'Outdoor Space']",Beechwood Village Ottawa 4.5,https://premieresuites.com/furnished-apartments/ottawa/beechwood-village/,https://premiereweb.premieresuites.com/thumbs/bd4a2b31-a874-ec11-8129-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('033848f2-e05a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/ottawa/beechwood-village/"" title=""Beechwood"">
<img alt=""Living Room Free WiFi Fully Furnished Apartment Suite Ottawa"" src=""https://premiereweb.premieresuites.com/thumbs/bd4a2b31-a874-ec11-8129-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",BEECHWOODV,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Modern']"
Ecentral,Toronto   Midtown,4.5,1 Bedroom,"['Gym', 'Laundry', 'Parking', 'Pool', 'Furnished', 'Pet Friendly', 'In-suite Laundry', 'Concierge', 'Elevator', 'Terrace', 'Garden', 'BBQ', 'Outdoor Space']",Ecentral Toronto   Midtown 4.5,https://premieresuites.com/furnished-apartments/toronto---midtown/ecentral/,https://premiereweb.premieresuites.com/thumbs/9f2f0bf0-e55a-eb11-8117-000d3a6008fd_thumbs.jpg,,True,1,,"<div class=""owl-stage-outer"" onmouseover=""showMarker('d7a9a9e8-e55a-eb11-8117-000d3a6008fd')"">
<div class=""item"">
<a href=""/furnished-apartments/toronto---midtown/ecentral/"" title=""eCentral"">
<img alt=""Kitchen Fully Equipped Five Appliances Stainless Steel Midtown Toronto"" src=""https://premiereweb.premieresuites.com/thumbs/9f2f0bf0-e55a-eb11-8117-000d3a6008fd_thumbs.jpg""/>
</a>
</div>
</div>",ECENTRAL,Apartment Building,"['Furnished', 'Kitchen', 'In-suite Laundry', 'Terrace', 'Modern']"
